neighbourhood,num_airbnb_listings,avg_airbnb_price
la Dreta de l'Eixample,2393,212.25
el Raval,1583,111.71
el Barri Gòtic,1215,159.73
"Sant Pere, Santa Caterina i la Ribera",1182,121.31
la Sagrada Família,1168,211.08
la Vila de Gràcia,1133,149.18
l'Antiga Esquerra de l'Eixample,1088,164.89
Sant Antoni,989,171.24
el Poble Sec,891,166.26
la Nova Esquerra de l'Eixample,807,174.13
Sant Gervasi - Galvany,560,144.65
el Fort Pienc,510,175.92
la Barceloneta,506,98.41
el Poblenou,478,196.55
Sants,351,131.74
el Camp de l'Arpa del Clot,336,170.99
el Camp d'en Grassot i Gràcia Nova,323,133.05
les Corts,266,142.17
el Putxet i el Farró,264,116.02
Hostafrancs,221,155.08
Sants - Badal,212,310.38
el Parc i la Llacuna del Poblenou,199,188.36
Diagonal Mar i el Front Marítim del Poblenou,177,275.36
el Baix Guinardó,158,112.61
el Guinardó,145,101.48
el Besòs i el Maresme,132,229.74
la Vila Olímpica del Poblenou,131,244.22
la Font de la Guatlla,123,104.4
el Clot,116,92.08
Provençals del Poblenou,106,126.23
Sant Gervasi - la Bonanova,96,132.4
la Maternitat i Sant Ramon,96,120.01
la Bordeta,93,107.6
el Carmel,93,82.86
Sarrià,89,143.39
Vallcarca i els Penitents,88,135.89
Sant Andreu,83,97.02
Navas,77,234.23
la Salut,74,116.68
Sant Martí de Provençals,72,67.08
la Marina de Port,71,64.31
la Sagrera,68,82.5
Vilapicina i la Torre Llobeta,64,96.0
el Congrés i els Indians,55,81.92
la Verneda i la Pau,52,84.34
les Tres Torres,51,118.2
Can Baró,45,152.67
"Vallvidrera, el Tibidabo i les Planes",38,130.24
el Coll,35,496.46
Porta,35,74.38
Pedralbes,33,127.2
la Prosperitat,28,55.35
Horta,25,56.0
el Turó de la Peira,24,32.39
les Roquetes,22,65.94
la Teixonera,19,64.0
la Font d'en Fargues,15,190.09
Verdun,15,58.5
Sant Genís dels Agudells,14,74.25
la Guineueta,13,58.22
la Marina del Prat Vermell,13,132.36
Montbau,13,78.17
el Bon Pastor,12,77.0
la Trinitat Vella,10,66.57
la Vall d'Hebron,9,69.0
la Trinitat Nova,5,43.75
la Clota,5,114.5
Can Peguera,3,48.0
Baró de Viver,3,
Torre Baró,2,143.0
Canyelles,1,147.0
