neighbourhood,avg_rent_price,num_airbnb_listings,avg_airbnb_price
Pedralbes,2080.77,33,127.2
les Tres Torres,2068.15,51,118.2
Sant Gervasi - Galvany,1735.27,560,144.65
Sant Gervasi - la Bonanova,1669.08,96,132.4
la Vila Olímpica del Poblenou,1660.61,131,244.22
la Dreta de l'Eixample,1568.39,2393,212.25
Sarrià,1561.11,89,143.39
"Vallvidrera, el Tibidabo i les Planes",1495.75,38,130.24
Diagonal Mar i el Front Marítim del Poblenou,1373.94,177,275.36
l'Antiga Esquerra de l'Eixample,1366.22,1088,164.89
les Corts,1276.79,266,142.17
el Putxet i el Farró,1276.32,264,116.02
la Nova Esquerra de l'Eixample,1214.49,807,174.13
el Poblenou,1204.67,478,196.55
el Barri Gòtic,1189.98,1215,159.73
la Bordeta,1184.89,93,107.6
Vallcarca i els Penitents,1178.46,88,135.89
el Fort Pienc,1177.62,510,175.92
el Camp d'en Grassot i Gràcia Nova,1174.59,323,133.05
la Maternitat i Sant Ramon,1166.23,96,120.01
el Parc i la Llacuna del Poblenou,1159.89,199,188.36
la Vila de Gràcia,1152.5,1133,149.18
la Salut,1145.65,74,116.68
Provençals del Poblenou,1144.52,106,126.23
la Sagrada Família,1136.7,1168,211.08
Sant Antoni,1129.02,989,171.24
"Sant Pere, Santa Caterina i la Ribera",1127.08,1182,121.31
la Clota,1094.34,5,114.5
la Font d'en Fargues,1089.52,15,190.09
la Vall d'Hebron,1031.78,9,69.0
el Clot,1027.86,116,92.08
la Font de la Guatlla,1022.05,123,104.4
el Baix Guinardó,1017.83,158,112.61
la Barceloneta,1013.02,506,98.41
la Sagrera,1008.91,68,82.5
Sants,1006.07,351,131.74
la Verneda i la Pau,1000.9,52,84.34
Sant Martí de Provençals,999.36,72,67.08
Navas,989.06,77,234.23
el Camp de l'Arpa del Clot,980.47,336,170.99
el Guinardó,970.83,145,101.48
el Raval,969.37,1583,111.71
Sants - Badal,964.57,212,310.38
Hostafrancs,959.73,221,155.08
el Poble Sec,956.23,891,166.26
el Congrés i els Indians,945.14,55,81.92
Sant Andreu,920.89,83,97.02
Can Baró,914.96,45,152.67
Horta,909.97,25,56.0
Vilapicina i la Torre Llobeta,906.75,64,96.0
Montbau,902.91,13,78.17
el Coll,900.36,35,496.46
Canyelles,886.64,1,147.0
la Guineueta,878.54,13,58.22
la Teixonera,859.42,19,64.0
el Besòs i el Maresme,848.34,132,229.74
la Marina de Port,845.4,71,64.31
Porta,834.95,35,74.38
la Marina del Prat Vermell,813.84,13,132.36
Sant Genís dels Agudells,801.39,14,74.25
el Carmel,794.37,93,82.86
la Prosperitat,789.2,28,55.35
el Turó de la Peira,785.41,24,32.39
el Bon Pastor,722.6,12,77.0
les Roquetes,717.63,22,65.94
Verdun,714.18,15,58.5
la Trinitat Nova,710.06,5,43.75
la Trinitat Vella,674.59,10,66.57
Can Peguera,547.23,3,48.0
Baró de Viver,524.3,3,
Torre Baró,462.5,2,143.0
