year,territory,territory_order,territory_type,occupancy_status,num_housing_units
1981,Barcelona,1,Municipality,Secondary,14399.0
1981,Barcelona,1,Municipality,Other,0.0
1981,Barcelona,1,Municipality,Main,579831.0
1981,Barcelona,1,Municipality,Vacant,79276.0
1991,Horta-Guinardó,7,District,Secondary,1899.0
1991,Sant Andreu,9,District,Secondary,823.0
1991,Gràcia,6,District,Secondary,1960.0
1991,Sant Martí,10,District,Vacant,7465.0
1991,Barcelona,1,Municipality,Secondary,21952.0
1991,Nou Barris,8,District,Vacant,4515.0
1991,Barcelona,1,Municipality,Vacant,69908.0
1991,Sarrià-Sant Gervasi,5,District,Main,49429.0
1991,Barcelona,1,Municipality,Main,576640.0
1991,Les Corts,4,District,Other,99.0
1991,Sants-Montjuïc,3,District,Main,65710.0
1991,Gràcia,6,District,Main,47753.0
1991,Sant Andreu,9,District,Main,48484.0
1991,Sants-Montjuïc,3,District,Vacant,7750.0
1991,Gràcia,6,District,Other,74.0
1991,Eixample,2,District,Secondary,5073.0
1991,Horta-Guinardó,7,District,Main,60868.0
1991,Sant Martí,10,District,Secondary,1531.0
1991,Sant Martí,10,District,Main,73003.0
1991,Sarrià-Sant Gervasi,5,District,Secondary,4246.0
1991,Horta-Guinardó,7,District,Other,63.0
1991,Nou Barris,8,District,Main,62169.0
1991,Nou Barris,8,District,Other,71.0
1991,Nou Barris,8,District,Secondary,1173.0
1991,Eixample,2,District,Vacant,12922.0
1991,Les Corts,4,District,Main,30021.0
1991,Sarrià-Sant Gervasi,5,District,Other,151.0
1991,Sant Martí,10,District,Other,81.0
1991,Eixample,2,District,Other,182.0
1991,Sant Andreu,9,District,Other,38.0
1991,Sants-Montjuïc,3,District,Other,66.0
1991,Les Corts,4,District,Vacant,3378.0
1991,Ciutat Vella,1,District,Vacant,11066.0
1991,Sarrià-Sant Gervasi,5,District,Vacant,5974.0
1991,Sants-Montjuïc,3,District,Secondary,1688.0
1991,Ciutat Vella,1,District,Secondary,2442.0
1991,Horta-Guinardó,7,District,Vacant,6132.0
1991,Les Corts,4,District,Secondary,1117.0
1991,Sant Andreu,9,District,Vacant,4469.0
1991,Ciutat Vella,1,District,Other,134.0
1991,Eixample,2,District,Main,103096.0
1991,Gràcia,6,District,Vacant,6237.0
1991,Ciutat Vella,1,District,Main,36107.0
1991,Barcelona,1,Municipality,Other,959.0
2001,Eixample,2,District,Main,103809.0
2001,Gràcia,6,District,Other,588.0
2001,Gràcia,6,District,Main,48113.0
2001,Nou Barris,8,District,Main,62332.0
2001,Horta-Guinardó,7,District,Vacant,10222.0
2001,Barcelona,1,Municipality,Accommodation,1.0
2001,Barcelona,1,Municipality,Secondary,57719.0
2001,Sants-Montjuïc,3,District,Secondary,5527.0
2001,Ciutat Vella,1,District,Main,36322.0
2001,Les Corts,4,District,Secondary,5338.0
2001,Sant Martí,10,District,Main,80413.0
2001,Sant Martí,10,District,Other,357.0
2001,Barcelona,1,Municipality,Other,4986.0
2001,Ciutat Vella,1,District,Secondary,3041.0
2001,Barcelona,1,Municipality,Main,594451.0
2001,Nou Barris,8,District,Other,243.0
2001,Sant Andreu,9,District,Main,52008.0
2001,Gràcia,6,District,Secondary,6272.0
2001,Horta-Guinardó,7,District,Secondary,4875.0
2001,Ciutat Vella,1,District,Vacant,12438.0
2001,Eixample,2,District,Other,693.0
2001,Sant Andreu,9,District,Vacant,7944.0
2001,Sants-Montjuïc,3,District,Vacant,10048.0
2001,Les Corts,4,District,Main,30324.0
2001,Les Corts,4,District,Vacant,3753.0
2001,Sant Andreu,9,District,Secondary,2951.0
2001,Horta-Guinardó,7,District,Other,507.0
2001,Nou Barris,8,District,Secondary,2225.0
2001,Eixample,2,District,Secondary,11984.0
2001,Sant Martí,10,District,Vacant,12984.0
2001,Sants-Montjuïc,3,District,Other,573.0
2001,Sarrià-Sant Gervasi,5,District,Vacant,8207.0
2001,Les Corts,4,District,Other,370.0
2001,Horta-Guinardó,7,District,Main,64301.0
2001,Barcelona,1,Municipality,Vacant,100771.0
2001,Sant Martí,10,District,Secondary,5229.0
2001,Gràcia,6,District,Accommodation,1.0
2001,Nou Barris,8,District,Vacant,8484.0
2001,Sarrià-Sant Gervasi,5,District,Secondary,10277.0
2001,Sant Andreu,9,District,Other,132.0
2001,Ciutat Vella,1,District,Other,1142.0
2001,Sarrià-Sant Gervasi,5,District,Other,381.0
2001,Sarrià-Sant Gervasi,5,District,Main,49896.0
2001,Sants-Montjuïc,3,District,Main,66933.0
2001,Eixample,2,District,Vacant,18314.0
2001,Gràcia,6,District,Vacant,8377.0
2011,Sarrià-Sant Gervasi,5,District,Main,57010.0
2011,Ciutat Vella,1,District,Vacant,8645.0
2011,Eixample,2,District,Main,117935.0
2011,Sant Andreu,9,District,Vacant,6240.0
2011,Barcelona,1,Municipality,Secondary,38770.0
2011,Les Corts,4,District,Main,33215.0
2011,Gràcia,6,District,Main,55015.0
2011,Gràcia,6,District,Secondary,5735.0
2011,Horta-Guinardó,7,District,Vacant,4760.0
2011,Sants-Montjuïc,3,District,Secondary,3530.0
2011,Les Corts,4,District,Vacant,6520.0
2011,Eixample,2,District,Secondary,6880.0
2011,Sant Andreu,9,District,Secondary,2130.0
2011,Gràcia,6,District,Vacant,4755.0
2011,Sarrià-Sant Gervasi,5,District,Vacant,12005.0
2011,Sant Martí,10,District,Secondary,3655.0
2011,Sant Andreu,9,District,Main,61685.0
2011,Les Corts,4,District,Secondary,4510.0
2011,Sant Martí,10,District,Vacant,10825.0
2011,Barcelona,1,Municipality,Main,684080.0
2011,Sant Martí,10,District,Main,97055.0
2011,Horta-Guinardó,7,District,Secondary,2050.0
2011,Nou Barris,8,District,Main,68285.0
