year,territory,territory_order,territory_type,main_use_destination,num_premises
2009,el Coll,29,Neighbourhood,Education and culture,29.0
2009,el Carmel,37,Neighbourhood,Offices,77.0
2009,la Marina de Port,13,Neighbourhood,Other,12.0
2009,el Parc i la Llacuna del Poblenou,66,Neighbourhood,Housing,6434.0
2009,la Font de la Guatlla,14,Neighbourhood,Sports,6.0
2009,la Sagrada Família,6,Neighbourhood,Tourism and hospitality,96.0
2009,Montbau,40,Neighbourhood,Sports,22.0
2009,Verdun,51,Neighbourhood,Offices,28.0
2009,"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,Religious,37.0
2009,Nou Barris,8,District,Religious,93.0
2009,Sants,18,Neighbourhood,Housing,20840.0
2009,Sant Andreu,9,District,Offices,1081.0
2009,la Sagrera,61,Neighbourhood,Commerce,1349.0
2009,Porta,45,Neighbourhood,Sports,13.0
2009,Can Baró,34,Neighbourhood,Commerce,340.0
2009,Les Corts,4,District,Entertainment,25.0
2009,Navas,63,Neighbourhood,Entertainment,16.0
2009,la Guineueta,48,Neighbourhood,Education and culture,95.0
2009,la Barceloneta,3,Neighbourhood,Sports,18.0
2009,Sarrià-Sant Gervasi,5,District,Parking,50821.0
2009,les Roquetes,50,Neighbourhood,Parking,1171.0
2009,la Vila de Gràcia,31,Neighbourhood,Education and culture,229.0
2009,el Carmel,37,Neighbourhood,Commerce,1418.0
2009,el Camp d'en Grassot i Gràcia Nova,32,Neighbourhood,Commerce,1486.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Tourism and hospitality,5.0
2009,Sarrià-Sant Gervasi,5,District,Housing,75519.0
2009,Sant Martí,10,District,Other,80.0
2009,Ciutat Meridiana,55,Neighbourhood,Parking,123.0
2009,la Font de la Guatlla,14,Neighbourhood,Education and culture,31.0
2009,Torre Baró,54,Neighbourhood,Sports,9.0
2009,Sant Genís dels Agudells,39,Neighbourhood,Sports,17.0
2009,Sants-Montjuïc,3,District,Commerce,10884.0
2009,Sarrià,23,Neighbourhood,Sports,545.0
2009,Ciutat Vella,1,District,Entertainment,133.0
2009,Les Corts,4,District,Offices,2440.0
2009,Baró de Viver,58,Neighbourhood,Offices,3.0
2009,el Poblenou,68,Neighbourhood,Education and culture,41.0
2009,la Barceloneta,3,Neighbourhood,Other,6.0
