Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Any,Import_Euros
1,Ciutat Vella,1,el Raval,1,2015,12659.06
1,Ciutat Vella,1,el Raval,2,2015,10270.68
1,Ciutat Vella,1,el Raval,3,2015,9887.87
1,Ciutat Vella,1,el Raval,4,2015,12906.83
1,Ciutat Vella,1,el Raval,5,2015,10414.04
1,Ciutat Vella,1,el Raval,6,2015,11801.14
1,Ciutat Vella,1,el Raval,7,2015,10796.26
1,Ciutat Vella,1,el Raval,8,2015,8663.84
1,Ciutat Vella,1,el Raval,9,2015,11703.31
1,Ciutat Vella,1,el Raval,10,2015,9696.37
1,Ciutat Vella,1,el Raval,11,2015,9507.57
1,Ciutat Vella,1,el Raval,12,2015,12227.76
1,Ciutat Vella,1,el Raval,13,2015,13079.04
1,Ciutat Vella,1,el Raval,14,2015,11673.82
1,Ciutat Vella,1,el Raval,15,2015,12091.97
1,Ciutat Vella,1,el Raval,16,2015,11704.14
1,Ciutat Vella,1,el Raval,17,2015,10667.89
1,Ciutat Vella,1,el Raval,18,2015,11120.05
1,Ciutat Vella,1,el Raval,19,2015,10528.2
1,Ciutat Vella,1,el Raval,20,2015,16559.72
1,Ciutat Vella,1,el Raval,21,2015,16652.15
1,Ciutat Vella,2,el Barri Gòtic,22,2015,20463.16
1,Ciutat Vella,2,el Barri Gòtic,23,2015,18299.99
1,Ciutat Vella,2,el Barri Gòtic,25,2015,15235.62
1,Ciutat Vella,2,el Barri Gòtic,26,2015,14337.03
1,Ciutat Vella,2,el Barri Gòtic,27,2015,14708.88
1,Ciutat Vella,2,el Barri Gòtic,28,2015,15267.06
1,Ciutat Vella,2,el Barri Gòtic,29,2015,13183.81
1,Ciutat Vella,2,el Barri Gòtic,30,2015,13370.82
1,Ciutat Vella,2,el Barri Gòtic,31,2015,13880.0
1,Ciutat Vella,3,la Barceloneta,32,2015,16718.4
1,Ciutat Vella,3,la Barceloneta,33,2015,14096.81
1,Ciutat Vella,3,la Barceloneta,34,2015,13824.25
1,Ciutat Vella,3,la Barceloneta,35,2015,13882.09
1,Ciutat Vella,3,la Barceloneta,36,2015,14769.14
1,Ciutat Vella,3,la Barceloneta,37,2015,14032.94
1,Ciutat Vella,3,la Barceloneta,38,2015,13646.77
1,Ciutat Vella,3,la Barceloneta,39,2015,15471.25
1,Ciutat Vella,3,la Barceloneta,40,2015,16190.46
1,Ciutat Vella,3,la Barceloneta,41,2015,13759.31
1,Ciutat Vella,3,la Barceloneta,42,2015,16031.7
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,2015,20052.48
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,2015,19506.13
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,2015,15971.24
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,2015,14362.93
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,2015,13891.2
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,2015,11554.76
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,2015,15919.87
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,2015,15250.76
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,2015,13069.37
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,2015,18130.49
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,2015,14038.16
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,2015,14444.73
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,2015,19159.19
2,Eixample,5,el Fort Pienc,1,2015,20371.52
