year,neighbourhood,avg_rent_eur
2014,Baró de Viver,236.28
2015,Baró de Viver,285.28
2016,Baró de Viver,205.07
2017,Baró de Viver,458.37
2018,Baró de Viver,647.35
2019,Baró de Viver,486.2
2020,Baró de Viver,583.01
2021,Baró de Viver,540.31
2022,Baró de Viver,615.98
2023,Baró de Viver,699.5
2024,Baró de Viver,524.3
2014,Can Baró,543.57
2015,Can Baró,550.22
2016,Can Baró,633.81
2017,Can Baró,685.22
2018,Can Baró,738.17
2019,Can Baró,768.66
2020,Can Baró,781.66
2021,Can Baró,756.48
2022,Can Baró,807.12
2023,Can Baró,890.65
2024,Can Baró,914.96
2014,Can Peguera,225.99
2015,Can Peguera,211.35
2016,Can Peguera,277.46
2017,Can Peguera,412.53
2018,Can Peguera,439.63
2019,Can Peguera,419.43
2020,Can Peguera,365.56
2024,Can Peguera,547.23
2014,Canyelles,534.61
2015,Canyelles,573.96
2016,Canyelles,626.63
2017,Canyelles,681.07
2018,Canyelles,716.59
2019,Canyelles,747.46
2020,Canyelles,784.15
2021,Canyelles,743.24
2022,Canyelles,794.15
2023,Canyelles,826.99
2024,Canyelles,886.64
2014,Ciutat Meridiana,374.33
2015,Ciutat Meridiana,395.62
2016,Ciutat Meridiana,398.83
2017,Ciutat Meridiana,435.86
2018,Ciutat Meridiana,506.86
2019,Ciutat Meridiana,560.57
2020,Ciutat Meridiana,536.1
2021,Ciutat Meridiana,525.95
2022,Ciutat Meridiana,562.86
2023,Ciutat Meridiana,613.14
2024,Ciutat Meridiana,629.91
2014,Diagonal Mar i el Front Marítim del Poblenou,920.67
2015,Diagonal Mar i el Front Marítim del Poblenou,1038.07
2016,Diagonal Mar i el Front Marítim del Poblenou,1139.01
2017,Diagonal Mar i el Front Marítim del Poblenou,1106.39
2018,Diagonal Mar i el Front Marítim del Poblenou,1149.53
2019,Diagonal Mar i el Front Marítim del Poblenou,1379.94
2020,Diagonal Mar i el Front Marítim del Poblenou,1142.53
2021,Diagonal Mar i el Front Marítim del Poblenou,1068.0
2022,Diagonal Mar i el Front Marítim del Poblenou,1255.92
2023,Diagonal Mar i el Front Marítim del Poblenou,1364.36
2024,Diagonal Mar i el Front Marítim del Poblenou,1373.94
2014,el Baix Guinardó,621.24
2015,el Baix Guinardó,642.39
2016,el Baix Guinardó,701.48
2017,el Baix Guinardó,769.65
2018,el Baix Guinardó,829.06
2019,el Baix Guinardó,881.57
2020,el Baix Guinardó,894.79
2021,el Baix Guinardó,823.67
2022,el Baix Guinardó,910.52
2023,el Baix Guinardó,1028.03
2024,el Baix Guinardó,1017.83
2014,el Barri Gòtic,748.8
2015,el Barri Gòtic,783.6
2016,el Barri Gòtic,866.84
2017,el Barri Gòtic,973.67
2018,el Barri Gòtic,1023.44
2019,el Barri Gòtic,1098.47
2020,el Barri Gòtic,1034.69
2021,el Barri Gòtic,946.43
2022,el Barri Gòtic,1130.41
2023,el Barri Gòtic,1262.44
2024,el Barri Gòtic,1189.98
2014,el Besòs i el Maresme,480.46
2015,el Besòs i el Maresme,506.73
2016,el Besòs i el Maresme,539.42
2017,el Besòs i el Maresme,611.0
2018,el Besòs i el Maresme,685.56
2019,el Besòs i el Maresme,739.9
2020,el Besòs i el Maresme,746.42
2021,el Besòs i el Maresme,710.42
2022,el Besòs i el Maresme,779.35
2023,el Besòs i el Maresme,780.65
2024,el Besòs i el Maresme,848.34
2014,el Bon Pastor,495.91
2015,el Bon Pastor,536.79
2016,el Bon Pastor,542.91
2017,el Bon Pastor,625.73
2018,el Bon Pastor,683.75
2019,el Bon Pastor,683.65
2020,el Bon Pastor,727.77
2021,el Bon Pastor,685.03
2022,el Bon Pastor,740.43
2023,el Bon Pastor,739.81
2024,el Bon Pastor,722.6
2014,el Camp d'en Grassot i Gràcia Nova,682.43
2015,el Camp d'en Grassot i Gràcia Nova,725.5
2016,el Camp d'en Grassot i Gràcia Nova,803.23
2017,el Camp d'en Grassot i Gràcia Nova,863.66
2018,el Camp d'en Grassot i Gràcia Nova,909.89
2019,el Camp d'en Grassot i Gràcia Nova,982.56
2020,el Camp d'en Grassot i Gràcia Nova,955.34
2021,el Camp d'en Grassot i Gràcia Nova,892.72
2022,el Camp d'en Grassot i Gràcia Nova,1006.94
2023,el Camp d'en Grassot i Gràcia Nova,1140.24
2024,el Camp d'en Grassot i Gràcia Nova,1174.59
2014,el Camp de l'Arpa del Clot,598.4
2015,el Camp de l'Arpa del Clot,642.69
2016,el Camp de l'Arpa del Clot,696.86
2017,el Camp de l'Arpa del Clot,777.55
2018,el Camp de l'Arpa del Clot,818.11
2019,el Camp de l'Arpa del Clot,856.58
2020,el Camp de l'Arpa del Clot,863.16
2021,el Camp de l'Arpa del Clot,820.63
2022,el Camp de l'Arpa del Clot,894.32
2023,el Camp de l'Arpa del Clot,985.74
2024,el Camp de l'Arpa del Clot,980.47
2014,el Carmel,494.75
2015,el Carmel,511.62
2016,el Carmel,555.63
2017,el Carmel,603.45
2018,el Carmel,644.85
2019,el Carmel,685.22
2020,el Carmel,687.01
2021,el Carmel,674.78
2022,el Carmel,726.33
2023,el Carmel,778.01
2024,el Carmel,794.37
2014,el Clot,624.43
2015,el Clot,650.45
2016,el Clot,693.5
2017,el Clot,767.17
2018,el Clot,809.94
2019,el Clot,857.1
2020,el Clot,873.72
2021,el Clot,824.33
2022,el Clot,904.18
2023,el Clot,1031.62
2024,el Clot,1027.86
2014,el Coll,556.22
2015,el Coll,558.35
2016,el Coll,618.43
2017,el Coll,724.93
2018,el Coll,740.62
2019,el Coll,800.74
2020,el Coll,820.46
2021,el Coll,762.96
2022,el Coll,806.75
2023,el Coll,923.61
2024,el Coll,900.36
2014,el Congrés i els Indians,581.55
2015,el Congrés i els Indians,611.11
2016,el Congrés i els Indians,650.68
2017,el Congrés i els Indians,731.05
2018,el Congrés i els Indians,774.43
2019,el Congrés i els Indians,794.21
2020,el Congrés i els Indians,804.45
2021,el Congrés i els Indians,774.95
2022,el Congrés i els Indians,831.2
2023,el Congrés i els Indians,931.55
2024,el Congrés i els Indians,945.14
2014,el Fort Pienc,724.28
2015,el Fort Pienc,767.51
2016,el Fort Pienc,823.29
2017,el Fort Pienc,900.16
2018,el Fort Pienc,951.15
2019,el Fort Pienc,1010.8
2020,el Fort Pienc,1003.96
2021,el Fort Pienc,942.78
2022,el Fort Pienc,1074.85
2023,el Fort Pienc,1179.71
2024,el Fort Pienc,1177.62
2014,el Guinardó,581.54
2015,el Guinardó,612.22
2016,el Guinardó,666.61
2017,el Guinardó,736.12
2018,el Guinardó,772.22
2019,el Guinardó,819.35
2020,el Guinardó,827.32
2021,el Guinardó,809.04
2022,el Guinardó,846.16
2023,el Guinardó,966.57
2024,el Guinardó,970.83
2014,el Parc i la Llacuna del Poblenou,690.14
2015,el Parc i la Llacuna del Poblenou,747.57
2016,el Parc i la Llacuna del Poblenou,821.61
2017,el Parc i la Llacuna del Poblenou,894.62
2018,el Parc i la Llacuna del Poblenou,989.31
2019,el Parc i la Llacuna del Poblenou,1012.9
2020,el Parc i la Llacuna del Poblenou,975.51
2021,el Parc i la Llacuna del Poblenou,975.15
2022,el Parc i la Llacuna del Poblenou,1150.06
2023,el Parc i la Llacuna del Poblenou,1244.83
2024,el Parc i la Llacuna del Poblenou,1159.89
2014,el Poble Sec,582.54
2015,el Poble Sec,611.77
2016,el Poble Sec,669.17
2017,el Poble Sec,748.43
2018,el Poble Sec,801.86
2019,el Poble Sec,837.65
2020,el Poble Sec,830.23
2021,el Poble Sec,780.07
2022,el Poble Sec,881.74
2023,el Poble Sec,939.65
2024,el Poble Sec,956.23
2014,el Poblenou,654.51
2015,el Poblenou,733.37
2016,el Poblenou,793.54
2017,el Poblenou,899.6
2018,el Poblenou,962.69
2019,el Poblenou,1005.9
2020,el Poblenou,1001.7
2021,el Poblenou,945.74
2022,el Poblenou,1078.59
2023,el Poblenou,1176.37
2024,el Poblenou,1204.67
2014,el Putxet i el Farró,760.11
2015,el Putxet i el Farró,799.34
2016,el Putxet i el Farró,875.41
2017,el Putxet i el Farró,929.33
2018,el Putxet i el Farró,993.54
2019,el Putxet i el Farró,1085.84
2020,el Putxet i el Farró,1057.99
2021,el Putxet i el Farró,1004.21
2022,el Putxet i el Farró,1116.19
2023,el Putxet i el Farró,1257.58
2024,el Putxet i el Farró,1276.32
2014,el Raval,578.3
2015,el Raval,624.95
2016,el Raval,667.31
2017,el Raval,747.89
2018,el Raval,822.41
2019,el Raval,850.72
2020,el Raval,834.53
2021,el Raval,769.1
2022,el Raval,911.6
2023,el Raval,961.83
2024,el Raval,969.37
2014,el Turó de la Peira,473.99
2015,el Turó de la Peira,501.98
2016,el Turó de la Peira,551.6
2017,el Turó de la Peira,614.14
2018,el Turó de la Peira,676.96
2019,el Turó de la Peira,697.13
2020,el Turó de la Peira,699.49
2021,el Turó de la Peira,683.12
2022,el Turó de la Peira,728.01
2023,el Turó de la Peira,767.78
2024,el Turó de la Peira,785.41
2014,Horta,567.73
2015,Horta,579.99
2016,Horta,631.0
2017,Horta,698.08
2018,Horta,747.58
2019,Horta,782.34
2020,Horta,780.76
2021,Horta,749.35
2022,Horta,802.86
2023,Horta,897.46
2024,Horta,909.97
2014,Hostafrancs,593.79
2015,Hostafrancs,622.66
