Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,year,Valor
1,Ciutat Vella,1,el Raval,1,1001,1997,1092.0
1,Ciutat Vella,1,el Raval,1,1002,1997,1209.0
1,Ciutat Vella,1,el Raval,2,1003,1997,2129.0
1,Ciutat Vella,1,el Raval,2,1004,1997,2028.0
1,Ciutat Vella,1,el Raval,3,1005,1997,1893.0
1,Ciutat Vella,1,el Raval,3,1006,1997,1531.0
1,Ciutat Vella,1,el Raval,3,1007,1997,2210.0
1,Ciutat Vella,1,el Raval,4,1008,1997,1979.0
1,Ciutat Vella,1,el Raval,4,1009,1997,1486.0
1,Ciutat Vella,1,el Raval,4,1010,1997,1515.0
1,Ciutat Vella,1,el Raval,5,1011,1997,1940.0
1,Ciutat Vella,1,el Raval,5,1012,1997,1472.0
1,Ciutat Vella,1,el Raval,5,1013,1997,1080.0
1,Ciutat Vella,1,el Raval,6,1014,1997,1289.0
1,Ciutat Vella,1,el Raval,6,1015,1997,1586.0
1,Ciutat Vella,1,el Raval,6,1016,1997,1503.0
1,Ciutat Vella,1,el Raval,6,1017,1997,1740.0
1,Ciutat Vella,1,el Raval,7,1018,1997,985.0
1,Ciutat Vella,1,el Raval,7,1019,1997,1912.0
1,Ciutat Vella,1,el Raval,7,1020,1997,1871.0
1,Ciutat Vella,1,el Raval,8,1021,1997,1649.0
1,Ciutat Vella,2,el Barri Gòtic,9,1022,1997,1148.0
1,Ciutat Vella,2,el Barri Gòtic,9,1023,1997,1957.0
1,Ciutat Vella,2,el Barri Gòtic,10,1025,1997,1212.0
1,Ciutat Vella,2,el Barri Gòtic,10,1026,1997,1501.0
1,Ciutat Vella,2,el Barri Gòtic,10,1027,1997,1372.0
1,Ciutat Vella,2,el Barri Gòtic,11,1028,1997,1537.0
1,Ciutat Vella,2,el Barri Gòtic,11,1029,1997,1189.0
1,Ciutat Vella,2,el Barri Gòtic,12,1030,1997,2172.0
1,Ciutat Vella,2,el Barri Gòtic,12,1031,1997,1477.0
1,Ciutat Vella,3,la Barceloneta,13,1032,1997,2009.0
1,Ciutat Vella,3,la Barceloneta,13,1033,1997,1115.0
1,Ciutat Vella,3,la Barceloneta,13,1034,1997,1119.0
1,Ciutat Vella,3,la Barceloneta,14,1035,1997,1332.0
1,Ciutat Vella,3,la Barceloneta,14,1036,1997,1135.0
1,Ciutat Vella,3,la Barceloneta,15,1037,1997,1396.0
1,Ciutat Vella,3,la Barceloneta,15,1038,1997,1347.0
1,Ciutat Vella,3,la Barceloneta,15,1039,1997,1372.0
1,Ciutat Vella,3,la Barceloneta,15,1040,1997,1050.0
1,Ciutat Vella,3,la Barceloneta,15,1041,1997,1373.0
1,Ciutat Vella,3,la Barceloneta,15,1042,1997,1516.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,1997,1046.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,1997,1310.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,1997,1980.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,1997,1513.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,1997,1492.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,1997,1845.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,1997,1265.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,1997,1411.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,1997,1442.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,1997,1729.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,1997,2391.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,1997,1175.0
1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,1997,1243.0
2,Eixample,5,el Fort Pienc,20,2001,1997,931.0
2,Eixample,5,el Fort Pienc,20,2002,1997,1522.0
2,Eixample,5,el Fort Pienc,20,2003,1997,809.0
2,Eixample,5,el Fort Pienc,20,2004,1997,1372.0
2,Eixample,5,el Fort Pienc,20,2005,1997,2080.0
2,Eixample,5,el Fort Pienc,20,2006,1997,1526.0
2,Eixample,5,el Fort Pienc,20,2007,1997,1004.0
2,Eixample,5,el Fort Pienc,20,2008,1997,1652.0
2,Eixample,5,el Fort Pienc,20,2009,1997,1436.0
2,Eixample,5,el Fort Pienc,21,2010,1997,1104.0
2,Eixample,5,el Fort Pienc,21,2011,1997,1069.0
2,Eixample,5,el Fort Pienc,21,2012,1997,1477.0
2,Eixample,5,el Fort Pienc,21,2013,1997,1029.0
2,Eixample,5,el Fort Pienc,22,2014,1997,1143.0
2,Eixample,5,el Fort Pienc,22,2015,1997,1424.0
2,Eixample,5,el Fort Pienc,22,2016,1997,1739.0
