territory,territory_order,territory_type,average_rent_price,year_quarter
Gràcia,6,District,348.6179,2000Q1
Horta-Guinardó,7,District,320.2788,2000Q1
Eixample,2,District,436.381770810554,2000Q1
Sant Andreu,9,District,339.494251257485,2000Q1
Sants-Montjuïc,3,District,312.9871,2000Q1
Sant Martí,10,District,324.7735,2000Q1
Les Corts,4,District,567.732135193133,2000Q1
Sant Martí,10,District,341.650021052632,2000Q1
Les Corts,4,District,527.6255,2000Q1
Sarrià-Sant Gervasi,5,District,648.8497,2000Q1
Gràcia,6,District,370.856197605545,2000Q1
Barcelona,-1,Municipality,408.268532235513,2000Q1
Eixample,2,District,425.8277,2000Q1
Nou Barris,8,District,312.8769,2000Q1
Ciutat Vella,1,District,286.9246,2000Q1
Barcelona,-1,Municipality,387.7231,2000Q1
Sarrià-Sant Gervasi,5,District,631.187985106383,2000Q1
Ciutat Vella,1,District,325.191895,2000Q1
Sants-Montjuïc,3,District,336.555624238579,2000Q1
Sant Andreu,9,District,312.6609,2000Q1
Horta-Guinardó,7,District,334.521188717949,2000Q1
Nou Barris,8,District,330.994527817746,2000Q1
Sarrià-Sant Gervasi,5,District,670.864,2000Q2
Sants-Montjuïc,3,District,344.3785,2000Q2
Gràcia,6,District,372.0345,2000Q2
Eixample,2,District,417.8339,2000Q2
Barcelona,-1,Municipality,398.8572,2000Q2
Sant Martí,10,District,326.785,2000Q2
Nou Barris,8,District,344.645,2000Q2
Horta-Guinardó,7,District,322.6834,2000Q2
Ciutat Vella,1,District,301.314,2000Q2
Sant Andreu,9,District,328.0702,2000Q2
Les Corts,4,District,566.706,2000Q2
Eixample,2,District,452.8412,2000Q3
Barcelona,-1,Municipality,421.1176,2000Q3
Gràcia,6,District,393.214,2000Q3
Nou Barris,8,District,333.0103,2000Q3
Horta-Guinardó,7,District,333.3472,2000Q3
Sants-Montjuïc,3,District,348.2472,2000Q3
Sant Martí,10,District,344.8026,2000Q3
Ciutat Vella,1,District,338.7222,2000Q3
Sarrià-Sant Gervasi,5,District,607.8371,2000Q3
Sant Andreu,9,District,361.517,2000Q3
Les Corts,4,District,589.8479,2000Q3
Sarrià-Sant Gervasi,5,District,604.2165,2000Q4
Sants-Montjuïc,3,District,343.5068,2000Q4
Ciutat Vella,1,District,370.0641,2000Q4
Les Corts,4,District,596.0183,2000Q4
Eixample,2,District,453.8012,2000Q4
Sant Andreu,9,District,353.8437,2000Q4
Horta-Guinardó,7,District,362.064,2000Q4
Nou Barris,8,District,338.9595,2000Q4
Sant Martí,10,District,370.2011,2000Q4
Barcelona,-1,Municipality,426.4274,2000Q4
Gràcia,6,District,374.2426,2000Q4
Eixample,2,District,515.192684739756,2001Q1
Horta-Guinardó,7,District,390.495025551331,2001Q1
Horta-Guinardó,7,District,344.5035,2001Q1
Ciutat Vella,1,District,345.2979,2001Q1
Nou Barris,8,District,341.6296,2001Q1
Barcelona,-1,Municipality,433.3532,2001Q1
Eixample,2,District,463.9843,2001Q1
Les Corts,4,District,658.4824,2001Q1
Gràcia,6,District,385.8455,2001Q1
Sants-Montjuïc,3,District,381.928567871259,2001Q1
Barcelona,-1,Municipality,466.337418146834,2001Q1
Sants-Montjuïc,3,District,350.0388,2001Q1
Sarrià-Sant Gervasi,5,District,630.6671,2001Q1
Sant Andreu,9,District,379.2953,2001Q1
Les Corts,4,District,627.004133996683,2001Q1
Sant Martí,10,District,398.117336714375,2001Q1
Nou Barris,8,District,369.369893341121,2001Q1
Sarrià-Sant Gervasi,5,District,659.921328458943,2001Q1
Ciutat Vella,1,District,350.924916059702,2001Q1
