year,territory,territory_order,territory_type,tenure_regime,num_main_homes
1981,Barcelona,1,Municipi,Rent,268881.0
1981,Barcelona,1,Municipi,Ownership,287153.0
1981,Barcelona,1,Municipi,Other,23797.0
1991,Barcelona,1,Municipi,Ownership,354477.0
1991,Horta-Guinardó,7,Districte,Rent,17872.0
1991,Ciutat Vella,1,Districte,Other,987.0
1991,Nou Barris,8,Districte,Rent,14577.0
1991,Sants-Montjuïc,3,Districte,Rent,23343.0
1991,Sant Martí,10,Districte,Other,2497.0
1991,Gràcia,6,Districte,Rent,21366.0
1991,Sant Martí,10,Districte,Ownership,52226.0
1991,Sant Martí,10,Districte,Rent,18280.0
1991,Eixample,2,Districte,Ownership,54421.0
1991,Nou Barris,8,Districte,Other,2138.0
1991,Sant Andreu,9,Districte,Ownership,34060.0
1991,Horta-Guinardó,7,Districte,Ownership,41746.0
1991,Les Corts,4,Districte,Rent,8545.0
1991,Les Corts,4,Districte,Ownership,20554.0
1991,Barcelona,1,Municipi,Other,16981.0
1991,Sarrià-Sant Gervasi,5,Districte,Rent,19266.0
1991,Sants-Montjuïc,3,Districte,Ownership,40871.0
1991,Eixample,2,Districte,Other,2986.0
1991,Nou Barris,8,Districte,Ownership,45454.0
1991,Sants-Montjuïc,3,Districte,Other,1496.0
1991,Sant Andreu,9,Districte,Other,1530.0
1991,Gràcia,6,Districte,Ownership,25319.0
1991,Ciutat Vella,1,Districte,Rent,23350.0
1991,Horta-Guinardó,7,Districte,Other,1250.0
1991,Sarrià-Sant Gervasi,5,Districte,Other,2107.0
1991,Les Corts,4,Districte,Other,922.0
1991,Barcelona,1,Municipi,Rent,205182.0
1991,Sant Andreu,9,Districte,Rent,12894.0
1991,Eixample,2,Districte,Rent,45689.0
1991,Gràcia,6,Districte,Other,1068.0
1991,Sarrià-Sant Gervasi,5,Districte,Ownership,28056.0
1991,Ciutat Vella,1,Districte,Ownership,11770.0
2001,Sant Martí,10,Districte,Ownership,63006.0
2001,Eixample,2,Districte,Ownership,62823.0
2001,Sant Andreu,9,Districte,Other,1607.0
2001,Ciutat Vella,1,Districte,Rent,21037.0
2001,Nou Barris,8,Districte,Other,1975.0
2001,Sants-Montjuïc,3,Districte,Ownership,47192.0
2001,Horta-Guinardó,7,Districte,Other,2108.0
2001,Ciutat Vella,1,Districte,Other,1062.0
2001,Sarrià-Sant Gervasi,5,Districte,Rent,16834.0
