district_code,longitude,staircase,number_type,building_entrance,street_type,street_number_start,street_number_end,district_name,neighbourhood_name,generalitat_register_number,floor,door,letter2,number_of_places,expedient_number,letter1,latitude,block,street_name,neighbourhood_code,id
01,"2,17017206787341",,1,,Carrer,19,,CIUTAT VELLA,el Raval,HUTB-002222,01,1,,3,01-2009-0354,,"41,3784454355655",,SANT JOSEP ORIOL,01,1
01,"2,18200417667745",,2,,Carrer,22,,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",HUTB-003654,1,,,3,01-2011-0123,,"41,3828840594187",,AGULLERS,04,2
01,"2,17308601359367",,2,,Carrer,8,,CIUTAT VELLA,el Barri Gòtic,HUTB-001678,01,2,,3,01-2011-0137,,"41,3822240718426",,ROCA,02,3
01,"2,18200417667745",,2,,Carrer,22,,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",HUTB-003650,2,,,3,01-2011-0152,,"41,3828840594187",,AGULLERS,04,4
01,"2,18330533470055",,1,,Plaça,9,,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",HUTB-002534,01,2,,9,01-2011-0157,B,"41,3836849458057",,OLLES,04,5
01,"2,16791052480686",,1,,Carrer,1,,CIUTAT VELLA,el Raval,HUTB-000935,PR,2,,8,01-2011-0160,,"41,385019815186",,JOVELLANOS,01,6
01,"2,17308601359367",,2,,Carrer,8,,CIUTAT VELLA,el Barri Gòtic,HUTB-001679,02,2,,3,01-2011-0170,,"41,3822240718426",,ROCA,02,7
01,"2,17308601359367",,2,,Carrer,8,,CIUTAT VELLA,el Barri Gòtic,HUTB-001681,03,2,,3,01-2011-0171,,"41,3822240718426",,ROCA,02,8
01,"2,17308601359367",,2,,Carrer,8,,CIUTAT VELLA,el Barri Gòtic,HUTB-001685,04,2,,3,01-2011-0172,,"41,3822240718426",,ROCA,02,9
01,"2,17308601359367",,2,,Carrer,8,,CIUTAT VELLA,el Barri Gòtic,HUTB-001686,05,2,,3,01-2011-0173,,"41,3822240718426",,ROCA,02,10
01,"2,17883430924802",,1,,Carrer,5,,CIUTAT VELLA,"Sant Pere, Santa Caterina i la Ribera",HUTB-013223,05,,,4,01-2011-0192,,"41,3848227965769",,MERCADERS,04,11
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002459,01,1,,5,01-2011-0193,,"41,3784423179871",,NOU DE LA RAMBLA,01,12
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002460,01,2,,6,01-2011-0194,,"41,3784423179871",,NOU DE LA RAMBLA,01,13
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002461,02,1,,5,01-2011-0195,,"41,3784423179871",,NOU DE LA RAMBLA,01,14
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002462,02,2,,6,01-2011-0196,,"41,3784423179871",,NOU DE LA RAMBLA,01,15
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002463,03,1,,5,01-2011-0197,,"41,3784423179871",,NOU DE LA RAMBLA,01,16
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002464,03,2,,6,01-2011-0198,,"41,3784423179871",,NOU DE LA RAMBLA,01,17
01,"2,16823411182539",,1,,Carrer,11,,CIUTAT VELLA,el Raval,HUTB-013579,01,1,,9,01-2013-0132,,"41,3787499585243",,AURORA,01,141
01,"2,17367913693235",,1,,Carrer,15,,CIUTAT VELLA,el Raval,HUTB-002465,04,1,,5,01-2011-0199,,"41,3784423179871",,NOU DE LA RAMBLA,01,18
