year,territory,territory_order,territory_type,num_unemployed,year_quarter
2005-02-28 00:00:00+00:00,Barcelona,1,Municipi,61495.0,2005Q1
2005-03-31 00:00:00+00:00,Barcelona,1,Municipi,61431.0,2005Q1
2005-04-30 00:00:00+00:00,Barcelona,1,Municipi,58577.0,2005Q2
2005-06-30 00:00:00+00:00,Barcelona,1,Municipi,54968.0,2005Q2
2005-09-30 00:00:00+00:00,Barcelona,1,Municipi,57335.0,2005Q3
2006-04-30 00:00:00+00:00,Barcelona,1,Municipi,55086.0,2006Q2
2006-05-31 00:00:00+00:00,Barcelona,1,Municipi,54072.0,2006Q2
2006-07-31 00:00:00+00:00,Barcelona,1,Municipi,54932.0,2006Q3
2006-08-31 00:00:00+00:00,Barcelona,1,Municipi,55987.0,2006Q3
2006-09-30 00:00:00+00:00,Barcelona,1,Municipi,53621.0,2006Q3
2006-10-31 00:00:00+00:00,Barcelona,1,Municipi,53329.0,2006Q4
2006-11-30 00:00:00+00:00,Barcelona,1,Municipi,53503.0,2006Q4
2006-12-31 00:00:00+00:00,Barcelona,1,Municipi,53279.0,2006Q4
2007-02-28 00:00:00+00:00,Barcelona,1,Municipi,52841.0,2007Q1
2007-03-31 00:00:00+00:00,Barcelona,1,Municipi,52921.0,2007Q1
2007-04-30 00:00:00+00:00,Barcelona,1,Municipi,51641.0,2007Q2
2007-06-30 00:00:00+00:00,Barcelona,1,Municipi,50790.0,2007Q2
2007-07-31 00:00:00+00:00,Barcelona,1,Municipi,52629.0,2007Q3
2007-08-31 00:00:00+00:00,Barcelona,1,Municipi,54331.0,2007Q3
2008-04-30 00:00:00+00:00,Barcelona,1,Municipi,57687.0,2008Q2
2008-06-30 00:00:00+00:00,Barcelona,1,Municipi,59374.0,2008Q2
2008-07-31 00:00:00+00:00,Barcelona,1,Municipi,61404.0,2008Q3
2008-08-31 00:00:00+00:00,Barcelona,1,Municipi,64368.0,2008Q3
2008-10-31 00:00:00+00:00,Barcelona,1,Municipi,68344.0,2008Q4
2008-12-31 00:00:00+00:00,Barcelona,1,Municipi,74304.0,2008Q4
2009-01-31 00:00:00+00:00,Barcelona,1,Municipi,80208.0,2009Q1
2009-01-31 00:00:00+00:00,Sant Andreu,9,Districte,7647.0,2009Q1
2009-01-31 00:00:00+00:00,Les Corts,4,Districte,3277.0,2009Q1
2009-01-31 00:00:00+00:00,Nou Barris,8,Districte,10111.0,2009Q1
2009-01-31 00:00:00+00:00,Sant Martí,10,Districte,12509.0,2009Q1
2009-01-31 00:00:00+00:00,Sants-Montjuïc,3,Districte,9757.0,2009Q1
2009-01-31 00:00:00+00:00,Ciutat Vella,1,Districte,7448.0,2009Q1
2009-01-31 00:00:00+00:00,Eixample,2,Districte,11318.0,2009Q1
2009-02-28 00:00:00+00:00,Sant Martí,10,Districte,13055.0,2009Q1
2009-02-28 00:00:00+00:00,No consta,999,Districte,5.0,2009Q1
2009-02-28 00:00:00+00:00,Gràcia,6,Districte,5955.0,2009Q1
2009-02-28 00:00:00+00:00,Sant Andreu,9,Districte,8024.0,2009Q1
2009-02-28 00:00:00+00:00,Horta-Guinardó,7,Districte,9063.0,2009Q1
2009-02-28 00:00:00+00:00,Barcelona,1,Municipi,84277.0,2009Q1
2009-02-28 00:00:00+00:00,Sarrià-Sant Gervasi,5,Districte,4152.0,2009Q1
2009-02-28 00:00:00+00:00,Nou Barris,8,Districte,10579.0,2009Q1
2009-02-28 00:00:00+00:00,Les Corts,4,Districte,3441.0,2009Q1
2009-03-31 00:00:00+00:00,Nou Barris,8,Districte,11016.0,2009Q1
2009-03-31 00:00:00+00:00,Sarrià-Sant Gervasi,5,Districte,4396.0,2009Q1
2009-03-31 00:00:00+00:00,Les Corts,4,Districte,3595.0,2009Q1
2009-03-31 00:00:00+00:00,Gràcia,6,Districte,6137.0,2009Q1
2009-03-31 00:00:00+00:00,Ciutat Vella,1,Districte,8271.0,2009Q1
2009-03-31 00:00:00+00:00,Sant Andreu,9,Districte,8525.0,2009Q1
2009-04-30 00:00:00+00:00,Gràcia,6,Districte,6208.0,2009Q2
2009-04-30 00:00:00+00:00,Sants-Montjuïc,3,Districte,10912.0,2009Q2
2009-04-30 00:00:00+00:00,Ciutat Vella,1,Districte,8274.0,2009Q2
2009-04-30 00:00:00+00:00,Sant Martí,10,Districte,14098.0,2009Q2
2009-05-31 00:00:00+00:00,Les Corts,4,Districte,3716.0,2009Q2
2009-05-31 00:00:00+00:00,Ciutat Vella,1,Districte,8224.0,2009Q2
2009-05-31 00:00:00+00:00,Nou Barris,8,Districte,11261.0,2009Q2
2009-06-30 00:00:00+00:00,No consta,999,Districte,5.0,2009Q2
2009-06-30 00:00:00+00:00,Horta-Guinardó,7,Districte,9506.0,2009Q2
2009-06-30 00:00:00+00:00,Barcelona,1,Municipi,87919.0,2009Q2
