year,district_name,num_hut_licenses,cumulative_licenses
2009,CIUTAT VELLA,1,1.0
2011,CIUTAT VELLA,27,28.0
2012,CIUTAT VELLA,85,113.0
2013,CIUTAT VELLA,330,443.0
2014,CIUTAT VELLA,65,508.0
2015,CIUTAT VELLA,1,509.0
2016,CIUTAT VELLA,7,516.0
2017,CIUTAT VELLA,30,546.0
2018,CIUTAT VELLA,34,580.0
2019,CIUTAT VELLA,27,607.0
2020,CIUTAT VELLA,5,612.0
2021,CIUTAT VELLA,2,614.0
2022,CIUTAT VELLA,54,668.0
2023,CIUTAT VELLA,31,699.0
2024,CIUTAT VELLA,78,777.0
2025,CIUTAT VELLA,24,801.0
2008,GRACIA,65,65.0
2009,GRACIA,32,97.0
2010,GRACIA,87,184.0
2011,GRACIA,28,212.0
2012,GRACIA,222,434.0
2013,GRACIA,290,724.0
2014,GRACIA,322,1046.0
2016,GRACIA,3,1049.0
2019,GRACIA,3,1052.0
2020,GRACIA,1,1053.0
2023,GRACIA,38,1091.0
2024,GRACIA,30,1121.0
2025,GRACIA,3,1124.0
2008,HORTA-GUINARDÓ,14,14.0
2009,HORTA-GUINARDÓ,16,30.0
2010,HORTA-GUINARDÓ,3,33.0
2011,HORTA-GUINARDÓ,3,36.0
2012,HORTA-GUINARDÓ,46,82.0
2013,HORTA-GUINARDÓ,33,115.0
2014,HORTA-GUINARDÓ,96,211.0
2016,HORTA-GUINARDÓ,2,213.0
2018,HORTA-GUINARDÓ,1,214.0
2019,HORTA-GUINARDÓ,1,215.0
2020,HORTA-GUINARDÓ,1,216.0
2023,HORTA-GUINARDÓ,12,228.0
2024,HORTA-GUINARDÓ,11,239.0
2025,HORTA-GUINARDÓ,2,241.0
2008,L'EIXAMPLE,183,183.0
2009,L'EIXAMPLE,262,445.0
2010,L'EIXAMPLE,270,715.0
2011,L'EIXAMPLE,220,935.0
2012,L'EIXAMPLE,948,1883.0
2013,L'EIXAMPLE,1130,3013.0
2014,L'EIXAMPLE,1309,4322.0
2016,L'EIXAMPLE,127,4449.0
2017,L'EIXAMPLE,2,4451.0
2019,L'EIXAMPLE,1,4452.0
2020,L'EIXAMPLE,20,4472.0
2022,L'EIXAMPLE,38,4510.0
2023,L'EIXAMPLE,98,4608.0
2024,L'EIXAMPLE,176,4784.0
2025,L'EIXAMPLE,56,4840.0
2009,LES CORTS,1,1.0
2010,LES CORTS,53,54.0
2011,LES CORTS,16,70.0
2012,LES CORTS,30,100.0
2013,LES CORTS,45,145.0
2014,LES CORTS,95,240.0
2015,LES CORTS,1,241.0
2023,LES CORTS,14,255.0
2024,LES CORTS,6,261.0
2012,NOU BARRIS,8,8.0
2013,NOU BARRIS,1,9.0
2014,NOU BARRIS,12,21.0
2019,NOU BARRIS,8,29.0
2023,NOU BARRIS,11,40.0
2024,NOU BARRIS,1,41.0
2011,SANT ANDREU,7,7.0
2012,SANT ANDREU,21,28.0
2013,SANT ANDREU,18,46.0
2014,SANT ANDREU,28,74.0
2016,SANT ANDREU,1,75.0
2022,SANT ANDREU,1,76.0
2023,SANT ANDREU,12,88.0
2024,SANT ANDREU,5,93.0
2008,SANT MARTI,64,64.0
2009,SANT MARTI,48,112.0
2010,SANT MARTI,86,198.0
2011,SANT MARTI,47,245.0
2012,SANT MARTI,201,446.0
2013,SANT MARTI,269,715.0
2014,SANT MARTI,387,1102.0
2016,SANT MARTI,49,1151.0
2019,SANT MARTI,16,1167.0
2020,SANT MARTI,1,1168.0
2021,SANT MARTI,1,1169.0
2022,SANT MARTI,7,1176.0
2023,SANT MARTI,45,1221.0
2024,SANT MARTI,8,1229.0
2025,SANT MARTI,1,1230.0
2008,SANTS-MONTJUÏC,27,27.0
2009,SANTS-MONTJUÏC,78,105.0
2010,SANTS-MONTJUÏC,58,163.0
2011,SANTS-MONTJUÏC,61,224.0
2012,SANTS-MONTJUÏC,162,386.0
2013,SANTS-MONTJUÏC,300,686.0
2014,SANTS-MONTJUÏC,423,1109.0
2016,SANTS-MONTJUÏC,5,1114.0
2023,SANTS-MONTJUÏC,94,1208.0
2024,SANTS-MONTJUÏC,30,1238.0
2008,SARRIA-SANT GERVASI,34,34.0
2009,SARRIA-SANT GERVASI,3,37.0
2010,SARRIA-SANT GERVASI,9,46.0
2011,SARRIA-SANT GERVASI,27,73.0
2012,SARRIA-SANT GERVASI,171,244.0
2013,SARRIA-SANT GERVASI,125,369.0
2014,SARRIA-SANT GERVASI,119,488.0
2016,SARRIA-SANT GERVASI,14,502.0
2019,SARRIA-SANT GERVASI,3,505.0
2020,SARRIA-SANT GERVASI,6,511.0
2022,SARRIA-SANT GERVASI,1,512.0
2023,SARRIA-SANT GERVASI,115,627.0
2024,SARRIA-SANT GERVASI,17,644.0
2025,SARRIA-SANT GERVASI,1,645.0
